"Origin","Reside","Age","Gender","BldGrp","InRel","BldGrp_Prtnr","help_Ppl","Enyj_Grp","Chs_Wrds_Care","Take_Chrg","Get_Nervs_Talkng","Like_Ordr","Get_Upset","Modest_Achieve","Adventure","Enjy_attentn","Variety_Routine","Feel_Emo","Hard_Trust_Ppl","Avoid_Arguing","Avoid_alone","Detail_Orntd","Focus_on_present","Go_With_Flow","Talk_abt_Own_Feelngs","Fun_Party_Aftr_Wrk","Rarely_Insecure","AgeGroup"
"India","India",33,"Female","AB+","Yes","B+","Strongly Agree","Agree","Agree","Agree","Disagree","Neutral","Strongly Agree","Disagree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","30 - 39"
"India","India",30,"Male","O+","Yes","B+","Agree","Neutral","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Strongly agree","Agree","Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","30 - 39"
"Côte d'Ivoire","Kenya",50,"Female","O+","Yes","A+","Agree","Agree","Agree","Strongly Agree","Strongly disagree","Strongly Agree","Strongly disagree","Strongly agree","Agree","Strongly disagree","Strongly agree","Agree","Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Disagree","Disagree","50 - 59"
"Cameroon","Mauritius",41,"Male","B+","Yes","I don't know","Agree","Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Neutral","40 - 49"
"India","India",34,"Female","O+","Yes","B+","Agree","Agree","Agree","Strongly Agree","Disagree","Neutral","Neutral","Agree","Agree","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Neutral","30 - 39"
"Nigeria","Nigeria",24,"Female","O+","No","N/A","Agree","Neutral","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Strongly disagree","Disagree","Disagree","Neutral","Agree","Disagree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","20 - 29"
"Ghana","Ghana",29,"Male","O+","No","N/A","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Agree","Strongly Agree","Neutral","Disagree","Agree","Strongly disagree","Strongly agree","Disagree","Neutral","Strongly disagree","Strongly disagree","Disagree","Neutral","Agree","20 - 29"
"Nigeria","Nigeria",43,"Male","A+","Yes","A+","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Disagree","Neutral","Agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Neutral","40 - 49"
"Côte d'Ivoire","Côte d'Ivoire",30,"Female","O+","Yes","O+","Strongly Agree","Agree","Agree","Strongly Agree","Strongly disagree","Neutral","Neutral","Agree","Agree","Agree","Strongly agree","Strongly agree","Neutral","Neutral","Strongly agree","Strongly agree","Neutral","Strongly disagree","Strongly agree","Strongly agree","Neutral","30 - 39"
"Nigeria","Nigeria",35,"Male","O+","Yes","O+","Strongly Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Disagree","Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Neutral","Agree","Disagree","Neutral","Agree","Disagree","Agree","Agree","30 - 39"
"Senegal","Senegal",27,"Male","O+","Yes","I don't know","Disagree","Agree","Strongly Agree","Agree","Neutral","Agree","Strongly disagree","Agree","Neutral","Disagree","Agree","Agree","Agree","Disagree","Strongly disagree","Neutral","Neutral","Neutral","Disagree","Agree","Strongly agree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",26,"Female","O+","Yes","AB+","Strongly Agree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Disagree","Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",27,"Female","A+","Yes","I don't know","Agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Agree","Strongly agree","Strongly agree","20 - 29"
"Kenya","Kenya",29,"Female","A+","Yes","B+","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly Agree","Disagree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Agree","Strongly agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Neutral","20 - 29"
"Nigeria","Nigeria",32,"Male","A+","No","I don't know","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Agree","Neutral","Neutral","Agree","Agree","Strongly agree","Agree","Disagree","Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","30 - 39"
"India","USA",37,"Male","O+","Yes","A+","Strongly Agree","Neutral","Agree","Strongly Agree","Strongly disagree","Neutral","Neutral","Agree","Agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","30 - 39"
"Mali","Mali",35,"Male","AB-","No","N/A","Strongly Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree","Neutral","Disagree","Disagree","Strongly agree","Disagree","Agree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",26,"Female","O+","No","N/A","Strongly Agree","Agree","Agree","Agree","Neutral","Strongly disagree","Neutral","Neutral","Agree","Strongly disagree","Agree","Agree","Neutral","Strongly agree","Strongly disagree","Agree","Agree","Strongly disagree","Agree","Agree","Strongly disagree","20 - 29"
"Kenya","Kenya",38,"Male","AB+","No","I don't know","Strongly Agree","Strongly Agree","Neutral","Agree","Disagree","Agree","Disagree","Agree","Strongly Agree","Agree","Strongly agree","Strongly agree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Strongly agree","Agree","30 - 39"
"India","India",40,"Female","B+","Yes","O+","Agree","Agree","Agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Strongly disagree","Agree","Agree","40 - 49"
"Côte d'Ivoire","Côte d'Ivoire",30,"Male","A+","Yes","O-","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Disagree","Strongly disagree","Disagree","Disagree","Neutral","Neutral","Agree","30 - 39"
"Côte d'Ivoire","France",26,"Female","A+","No","N/A","Strongly Agree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Agree","Neutral","Disagree","Agree","Agree","Strongly agree","Disagree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Disagree","20 - 29"
"Côte d'Ivoire","Canada",30,"Female","O+","Yes","O+","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Disagree","Agree","Neutral","Disagree","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Neutral","Disagree","Agree","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",26,"Male","O+","Yes","O+","Agree","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Agree","Neutral","Disagree","Agree","Neutral","Neutral","20 - 29"
"Nigeria","Nigeria",25,"Male","O-","Yes","O+","Strongly Agree","Neutral","Agree","Neutral","Neutral","Agree","Strongly disagree","Agree","Disagree","Disagree","Neutral","Agree","Disagree","Neutral","Strongly disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Agree","20 - 29"
"Nigeria","Nigeria",43,"Male","A+","Yes","A+","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Neutral","Agree","Agree","Disagree","Neutral","Agree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Neutral","40 - 49"
"Côte d'Ivoire","Yes",32,"Male","O+","No","I don't know","Agree","Agree","Agree","Agree","Strongly disagree","Strongly Agree","Neutral","Neutral","Disagree","Agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Agree","Neutral","Strongly disagree","Strongly agree","Agree","Agree","30 - 39"
"Côte d'Ivoire","Canada",32,"Male","O+","Yes","I don't know","Agree","Agree","Strongly Agree","Strongly Agree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","30 - 39"
"Côte d'Ivoire","France",33,"Female","B+","No","N/A","Agree","Agree","Agree","Neutral","Disagree","Agree","Strongly Agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Agree","Disagree","Disagree","Agree","Strongly disagree","Agree","Strongly disagree","Disagree","Disagree","Agree","30 - 39"
"Mali","Mali",26,"Female","O+","Yes","I don't know","Strongly Agree","Neutral","Agree","Agree","Neutral","Strongly disagree","Strongly Agree","Agree","Neutral","Strongly disagree","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Disagree","Neutral","Disagree","Strongly agree","Disagree","20 - 29"
"Côte d'Ivoire","USA",22,"Female","O+","No","N/A","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree","Neutral","Strongly agree","Strongly Agree","Disagree","Disagree","Agree","Neutral","Strongly agree","Disagree","Agree","Disagree","Disagree","Neutral","Disagree","Disagree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",32,"Male","O+","Yes","AB+","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Neutral","Disagree","Neutral","Agree","Neutral","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",26,"Female","B+","Yes","O+","Strongly Agree","Disagree","Agree","Agree","Agree","Strongly disagree","Disagree","Strongly agree","Agree","Disagree","Agree","Agree","Strongly agree","Agree","Strongly disagree","Agree","Agree","Agree","Agree","Agree","Neutral","20 - 29"
"Côte d'Ivoire","UK",20,"Female","O+","No","N/A","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral","Strongly agree","Agree","Strongly agree","Strongly disagree","Neutral","Neutral","Disagree","Strongly agree","Disagree","Agree","Disagree","20 - 29"
"Kenya","Kenya",34,"Male","A+","No","N/A","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","30 - 39"
"Angola","Angola",30,"Female","O+","No","I don't know","Strongly Agree","Strongly disagree","Neutral","Neutral","Strongly agree","Strongly Agree","Agree","Strongly agree","Strongly Agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Neutral","Strongly disagree","30 - 39"
"Côte d'Ivoire","Ghana",56,"Male","B+","Yes","O+","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Neutral","Agree","Strongly agree","Agree","Disagree","Disagree","Neutral","Neutral","Agree","50 - 59"
"Côte d'Ivoire","Canada",25,"Male","O+","Yes","I don't know","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Neutral","Strongly agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Neutral","Strongly agree","Strongly agree","Neutral","Neutral","20 - 29"
"Côte d'Ivoire","USA",27,"Male","A+","Yes","I don't know","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Strongly Agree","Neutral","Strongly agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Neutral","Strongly disagree","Neutral","20 - 29"
"Côte d'Ivoire","USA",28,"Male","A+","Yes","O+","Agree","Strongly Agree","Agree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Agree","20 - 29"
"Côte d'Ivoire","USA",26,"Male","O+","Yes","I don't know","Strongly Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Disagree","Strongly agree","Agree","Disagree","Neutral","Agree","Disagree","Agree","Disagree","Disagree","Neutral","Agree","Neutral","Disagree","Disagree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",38,"Male","O+","Yes","A+","Agree","Agree","Neutral","Agree","Disagree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Agree","Neutral","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",46,"Male","O+","Yes","I don't know","Strongly Agree","Strongly Agree","Neutral","Agree","Disagree","Neutral","Strongly disagree","Agree","Strongly Agree","Neutral","Agree","Agree","Strongly disagree","Neutral","Strongly agree","Strongly disagree","Disagree","Neutral","Agree","Agree","Agree","40 - 49"
"Senegal","Canada",28,"Female","O+","Yes","AB+","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly disagree","Strongly Agree","Disagree","Neutral","Agree","Strongly disagree","Strongly agree","Agree","Disagree","Strongly disagree","Strongly disagree","Agree","Neutral","Disagree","Strongly disagree","Strongly disagree","Agree","20 - 29"
"India","India",34,"Female","B+","Yes","O+","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Neutral","Agree","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","Disagree","Strongly agree","Disagree","Disagree","Neutral","Disagree","Neutral","30 - 39"
"India","USA",36,"Female","A+","Yes","I don't know","Agree","Agree","Agree","Strongly Agree","Neutral","Disagree","Disagree","Agree","Agree","Neutral","Agree","Strongly agree","Neutral","Disagree","Agree","Agree","Agree","Strongly agree","Neutral","Strongly agree","Agree","30 - 39"
"Côte d'Ivoire","USA",31,"Female","O+","No","I don't know","Strongly Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Neutral","Agree","Neutral","Strongly disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","30 - 39"
"Côte d'Ivoire","Côte d'Ivoire",54,"Male","O+","Yes","O+","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Strongly agree","Strongly Agree","Neutral","Strongly agree","Disagree","Disagree","Strongly disagree","Disagree","Strongly disagree","Agree","Strongly disagree","Disagree","Agree","Agree","50 - 59"
"India","Canada",29,"Male","O+","Yes","I don't know","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Disagree","Strongly disagree","Strongly agree","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","20 - 29"
"Côte d'Ivoire","France",26,"Female","B+","No","I don't know","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Disagree","Strongly disagree","Neutral","Agree","Neutral","Agree","Strongly agree","Disagree","Strongly disagree","20 - 29"
"Côte d'Ivoire","Canada",34,"Female","O+","No","N/A","Strongly Agree","Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Strongly agree","Disagree","Agree","Disagree","Agree","30 - 39"
"Mali","Mali",25,"Female","B+","No","N/A","Strongly Agree","Agree","Disagree","Agree","Disagree","Strongly disagree","Strongly Agree","Disagree","Agree","Disagree","Agree","Disagree","Strongly agree","Disagree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","20 - 29"
"Côte d'Ivoire","Côte d'Ivoire",34,"Female","A+","Yes","A+","Strongly Agree","Neutral","Agree","Agree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Neutral","Agree","Agree","Agree","Disagree","Disagree","30 - 39"
"Côte d'Ivoire","France",29,"Female","O+","Yes","B+","Strongly Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Disagree","Strongly agree","Neutral","Disagree","Neutral","Agree","Neutral","Strongly agree","Neutral","Strongly agree","Disagree","Disagree","Neutral","Strongly disagree","Disagree","20 - 29"
"Côte d'Ivoire","Tunisia",29,"Male","AB+","No","N/A","Agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Agree","Neutral","Disagree","Strongly agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","20 - 29"
"Côte d'Ivoire","USA",25,"Female","A+","Yes","A+","Strongly Agree","Agree","Agree","Agree","Disagree","Agree","Neutral","Agree","Strongly Agree","Disagree","Strongly agree","Agree","Agree","Agree","Neutral","Strongly agree","Neutral","Neutral","Agree","Disagree","Disagree","20 - 29"
"Côte d'Ivoire","USA",26,"Male","O+","Yes","A+","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","Strongly agree","20 - 29"
"Canada","Canada",34,"Male","A+","Yes","I don't know","Strongly Agree","Strongly Agree","Neutral","Agree","Strongly disagree","Agree","Strongly disagree","Neutral","Neutral","Neutral","Disagree","Strongly agree","Disagree","Disagree","Strongly disagree","Neutral","Agree","Disagree","Strongly agree","Disagree","Agree","30 - 39"
"Canada","Canada",30,"Female","O+","Yes","B+","Agree","Neutral","Neutral","Neutral","Strongly agree","Agree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Strongly disagree","30 - 39"
"Côte d'Ivoire","USA",24,"Female","A+","Yes","I don't know","Strongly Agree","Neutral","Neutral","Neutral","Strongly disagree","Strongly Agree","Strongly Agree","Agree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Agree","Disagree","Disagree","Strongly agree","Strongly disagree","Disagree","20 - 29"
"Mali","Canada",19,"Female","B+","Yes","A-","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly agree","Strongly Agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Strongly agree","Disagree","Neutral","Disagree","Neutral","Strongly disagree","Strongly disagree","Strongly disagree","10 - 19"
"Canada","Canada",30,"Female","B+","No","N/A","Agree","Disagree","Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Strongly disagree","Neutral","Agree","Strongly agree","Strongly disagree","Strongly disagree","Agree","Disagree","Neutral","Neutral","Strongly disagree","Neutral","30 - 39"
"India","India",31,"Female","O+","Yes","O+","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly agree","Strongly disagree","Agree","Agree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","30 - 39"
"Senegal","Senegal",28,"Female","O-","Yes","I don't know","Agree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","Agree","Disagree","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Neutral","20 - 29"
"Côte d'Ivoire","USA",25,"Female","O+","No","N/A","Strongly Agree","Strongly Agree","Disagree","Agree","Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly agree","Strongly agree","Disagree","Strongly agree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Disagree","20 - 29"
"Canada","Canada",32,"Female","B+","Yes","B+","Strongly disagree","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Strongly disagree","Neutral","Agree","Neutral","Neutral","Strongly disagree","Agree","Agree","Disagree","Agree","Strongly agree","Agree","30 - 39"
"Côte d'Ivoire","France",26,"Female","B+","No","N/A","Strongly Agree","Agree","Agree","Neutral","Strongly agree","Agree","Agree","Strongly agree","Disagree","Strongly disagree","Agree","Agree","Agree","Strongly agree","Disagree","Disagree","Strongly disagree","Strongly disagree","Disagree","Strongly disagree","Disagree","20 - 29"
"Côte d'Ivoire","France",25,"Female","B+","No","N/A","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Neutral","Disagree","Agree","Agree","Disagree","Strongly disagree","Agree","Agree","Disagree","Agree","Strongly disagree","Strongly disagree","Disagree","20 - 29"
"Africa","Africa",30,"Female","AB+","Yes","O+","Agree","Agree","Agree","Agree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Disagree","Disagree","Agree","Agree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Disagree","Strongly disagree","Agree","Strongly disagree","Disagree","30 - 39"
"India","USA",29,"Female","B+","Yes","B+","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Strongly Agree","Agree","Disagree","Strongly agree","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Strongly agree","Strongly agree","Disagree","20 - 29"
"India","Canada",34,"Female","B+","Yes","B+","Agree","Agree","Neutral","Agree","Strongly disagree","Agree","Neutral","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Strongly agree","Agree","Agree","Neutral","Agree","Agree","Neutral","30 - 39"
"Philippines","Canada",54,"Male","A+","Yes","A+","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Disagree","Strongly agree","Agree","Strongly disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","50 - 59"
"Nigeria","Côte d'Ivoire",28,"Male","B+","Yes","I don't know","Neutral","Neutral","Agree","Agree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Neutral","20 - 29"
"Côte d'Ivoire","USA",27,"Male","O+","No","N/A","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Neutral","Strongly disagree","Strongly agree","Strongly Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Strongly agree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Neutral","20 - 29"
"Iran","Canada",36,"Male","A+","Yes","B+","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly disagree","Agree","Disagree","Strongly disagree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly disagree","Disagree","Agree","Strongly disagree","Agree","30 - 39"
